000003 宝马配挂跛骡鞍，貂蝉怨枕董翁榻。
000030 黑熊闯进王明辉家后院觅食。
alarm_01	好的，将在明天上午8点10分叫醒你。
chat_01	24小时随时待命，小海一直会等你来。
chat_02	一入宫门深似海，小海更向往普通人相濡以沫的爱情。
chat_inset_01	你好，我是小海，很高兴认识你。
chat_inset_02	你好，我的名字是小海，我可以帮你查天气、讲笑话，陪你聊天，怎么样，够炫酷吧？
date_time_01	今天是1月14日，周四，农历庚子年腊月初二。你还可以试着说播放新闻哦
date_time_02	当前纽约的时间是1月13日晚上11点37分
news_01	北京城市副中心规划获批复：不搞大规模房地产开发。
news_02	张家界大峡谷景区发生坠石事件，一名游客被砸身亡。
qa_01	地球上每年要发生约500万次地震，平均不到10秒钟便有一次。
qa_02	春天开的花有：百合，蒲公英，金银花，风信子，茉莉花等
weather_01	明天晴转多云，零下1度到9度，微风，空气质量优。最近易患肺炎，要注意休息哦。
weather_02	最近三天4度到13度，有点冷，以多云天为主，最近三天整体空气质量良好。
